人物名称,性别,年龄,外貌特征,穿着风格,AI 图片提示词
朱高曦,男,24 岁,面如冠玉，剑眉星目，身姿挺拔，眼神沉稳睿智，眉宇间有少年英气，手部因常年钻研技术有薄茧,常着琼州特制的棉麻常服（藏青 / 月白为主，袖口宽松便于操作），偶尔穿锦缎亲王蟒袍（低调暗纹，非大明制式），腰间系简约玉带,明朝永乐年间，24 岁年轻王爷，面如冠玉剑眉星目，身姿挺拔，眼神沉稳睿智，手部有薄茧，身着琼州藏青棉麻常服，袖口宽松，腰间系简约玉带，背景为蒸汽工厂 / 琼王府，古风写实，光影柔和，细节丰富，8K
朱棣,男,老年,面容刚毅，满脸皱纹却目光如炬，鬓发花白，颌下长须花白整齐，身材依旧健硕，有帝王威严，因常年北伐略带风霜感,微服私访时着藏青暗纹锦袍，头戴四方平定巾，脚蹬黑布靴；帝王装扮为明黄色龙袍，十二章纹，头戴翼善冠,明朝永乐年间，老年帝王朱棣，面容刚毅满脸皱纹，目光如炬，鬓发花白长须整齐，身材健硕有帝王威严，微服私访身着藏青暗纹锦袍，头戴四方平定巾，背景为琼州街头 / 火车旁，古风写实，氛围感强，8K，细节拉满
朱高煦,男,中年,身材魁梧，面部线条粗犷，眼神桀骜，略带纨绔气，额头有摔伤的伤口（后期），神态时常吊儿郎当,着朱红锦缎常服，腰系玉带，头戴公子巾，衣料华丽，符合汉王身份，伤口处贴有琼州医用纱布,明朝永乐年间，中年汉王朱高煦，身材魁梧面部粗犷，眼神桀骜带纨绔气，额头贴医用纱布，身着朱红华丽锦缎常服，腰系玉带，背景为琼州海关 / 医院，古风写实，动态感，8K
朱瞻基,男,青年,面容俊朗，眉目清秀，眼神沉稳内敛，藏锋不露，身姿挺拔，有皇室贵气，神态略带思虑,着宝蓝色锦缎常服，暗纹祥云，头戴小冠，腰间系玉扣腰带，衣着规整不失雅致,明朝永乐年间，青年皇太孙朱瞻基，面容俊朗眉目清秀，眼神沉稳内敛藏锋，身姿挺拔有皇室贵气，身着宝蓝色暗纹锦缎常服，头戴小冠，背景为火车车厢 / 琼州街道，古风写实，清冷氛围感，8K
于谦,男,青年,面容清俊，温文尔雅，眼神坚定，身形偏瘦，有文人风骨，举止端庄得体,着琼王府詹事制式青布官服，领口绣简约云纹，头戴进贤冠，脚蹬皂靴，衣着整洁干练,明朝永乐年间，青年文人于谦，面容清俊温文尔雅，眼神坚定有文人风骨，身着琼王府青布官服，领口绣云纹，头戴进贤冠，背景为火车月台 / 琼王府，古风写实，书卷气，8K
吴凯,男,中年,面容憨厚，眼神朴实，面部有少许风霜，身材中等，举止干练，有基层官员的沉稳,着琼州海关藏青制式常服，胸前绣 “海关” 二字，头戴布帽，脚蹬粗布靴,明朝永乐年间，中年琼州海关接待员吴凯，面容憨厚眼神朴实，身着藏青海关制式常服，胸前绣字，头戴布帽，背景为琼州海关大厅，古风写实，生活化，8K
张澈,男,中年,身材高大，面容英武，眼神锐利，有武将气质，面部略带刚毅，一改纨绔之相,着琼州总司令银白铠甲（琼州特制，带钢铁护具），内衬红袍，头戴战盔，腰佩佩刀,明朝永乐年间，中年琼州总司令张澈，身材高大面容英武，眼神锐利有武将气质，身着琼州特制银白铠甲，内衬红袍，背景为琼州港口 / 军营，古风写实，英气十足，8K
江婉云,女,青年,容貌清丽，眉目温婉，眼神灵动，身姿窈窕，气质独立干练，面带浅笑,着琼州医院白色医服（棉麻材质，简约立领），头戴白色布帽，腰间系药囊，后期偶尔穿琼州旗袍（浅粉，修身端庄）,明朝永乐年间，青年女医江婉云，容貌清丽眉目温婉，眼神灵动气质独立，身着琼州医院白色棉麻医服，头戴白帽腰间系药囊，背景为琼州医院问诊室，古风写实，清新柔和，8K
张辅,男,中年,身材魁梧，面容刚毅，眼神警惕，有武将的威严与机敏，面部有战场留下的浅疤，身姿挺拔,着大明英国公铠甲（明光铠，红缨战盔），微服时着玄色锦袍，腰系玉带，佩刀在身,明朝永乐年间，中年大明英国公张辅，身材魁梧面容刚毅，面部有浅疤，眼神警惕，微服身着玄色锦袍，腰系玉带，背景为琼州海关 / 火车旁，古风写实，武将气场，8K
杨荣,男,中年,面容清瘦，眼神睿智，有文人儒雅之气，颌下短须，身姿略显单薄，举止端庄,着大明翰林大学士青色官服，绣飞鱼纹，头戴梁冠，手持折扇，脚蹬皂靴,明朝永乐年间，中年翰林大学士杨荣，面容清瘦眼神睿智，有文人儒雅之气，身着青色官服绣飞鱼纹，头戴梁冠手持折扇，背景为火车车厢 / 琼州医院，古风写实，书卷气，8K
琼州路人女子,女,青年,容貌俏丽，眼神灵动，面带爽朗笑意，身材娇小，有琼州百姓的鲜活气,着琼州特色旗袍（浅蓝，短款修身），腿穿丝袜，脚蹬绣花布鞋，发型简约挽起,明朝永乐年间，青年琼州路人女子，容貌俏丽眼神灵动，面带爽朗笑意，身着浅蓝短款琼州旗袍，腿穿丝袜，背景为琼州岸边道路，古风写实，生活化，8K
琼州华贵中年人,男,中年,面容富态，眼神温和，面带笑意，身材微胖，有琼州富庶百姓的气质,着锦缎常服（明黄暗纹，琼州特制），头戴四方巾，腰间系玉扣，脚蹬锦靴,明朝永乐年间，中年琼州华贵百姓，面容富态眼神温和，身着明黄暗纹锦缎常服，头戴四方巾，背景为琼州海关，古风写实，富贵气，8K
琼州医院护士,女,青年 / 少女,容貌清秀，眼神温柔，举止麻利，身姿轻盈,着琼州医院白色短款医服，腿穿白色丝袜，头戴白色小帽，腰间系小药篮,明朝永乐年间，青年琼州医院护士，容貌清秀眼神温柔，身着白色短款医服，腿穿白丝，头戴白帽，背景为琼州医院走廊，古风写实，清新，8K
琼州治安员,男,青年 / 中年,身材健硕，眼神严肃，举止干练，面部刚毅,着琼州治安员藏青制式服，胸前绣 “治安” 二字，头戴布帽，手持木棍 / 安检工具,明朝永乐年间，中年琼州治安员，身材健硕眼神严肃，身着藏青治安制式服，手持木棍，背景为琼州夜市，古风写实，威严感，8K
琼州火车乘客,男女老少皆有,各异,面容朴实，眼神好奇 / 平和，有琼州百姓的鲜活感，服饰各异,百姓多着琼州棉麻常服（各色短打），富人着锦缎旗袍 / 常服，孩童着简约短衣,明朝永乐年间，琼州火车乘客，男女老少皆有，面容朴实眼神平和，身着各色琼州棉麻短打 / 锦缎常服，背景为火车车厢内，古风写实，生活化群像，8K